,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
76,428.0,10.0,14.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,8.0,166.0,44.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,3.0,0.0,0.0,49.0,17.0,9.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,203.0,0.0,18.0,373.0,13.0,13.0,31.0,57.0,16.0,11.0,18.0,6.0,4.0,10.0,1.0,16.0,16.0,18.0,478.0,96.0,110.0,71.0,0.0,121.0,0.0,0.0,1.0,0.0,863.0,668.0,878.0,162.0,,291.0,13.0,7.0,1.0,10.0,19.0,0.0,482.0,75.0,45.0,56.0,38.0,2.0,3.0
77,2661.0,134.0,344.0,59.0,4.0,55.0,44.0,117.0,23.0,81.0,18.0,0.0,10.0,9.0,190.0,16.0,49.0,66.0,26.0,13.0,7.0,10.0,1.0,1.0,9.0,0.0,326.0,113.0,0.0,0.0,661.0,183.0,80.0,14.0,9.0,2.0,29.0,7.0,18.0,12.0,44.0,6.0,15.0,427.0,0.0,126.0,584.0,134.0,138.0,108.0,215.0,19.0,16.0,34.0,17.0,8.0,10.0,10.0,66.0,22.0,73.0,668.0,217.0,130.0,120.0,0.0,522.0,0.0,0.0,15.0,0.0,316.0,507.0,291.0,193.0,291.0,,27.0,30.0,3.0,66.0,49.0,0.0,419.0,106.0,70.0,33.0,38.0,4.0,20.0
78,343.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,23.0,23.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,42.0,4.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,419.0,0.0,61.0,331.0,38.0,189.0,160.0,361.0,51.0,39.0,11.0,44.0,11.0,6.0,4.0,29.0,4.0,27.0,310.0,78.0,139.0,23.0,0.0,272.0,0.0,0.0,3.0,0.0,60.0,44.0,8.0,33.0,13.0,27.0,,639.0,70.0,468.0,501.0,0.0,117.0,96.0,107.0,19.0,7.0,2.0,4.0
79,727.0,8.0,9.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,7.0,12.0,22.0,38.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,51.0,13.0,11.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,775.0,0.0,117.0,556.0,61.0,397.0,431.0,769.0,78.0,73.0,29.0,83.0,39.0,40.0,13.0,152.0,24.0,72.0,437.0,85.0,215.0,15.0,0.0,433.0,0.0,0.0,4.0,0.0,71.0,46.0,7.0,29.0,7.0,30.0,639.0,,87.0,810.0,728.0,0.0,135.0,160.0,177.0,37.0,3.0,2.0,1.0
80,40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,12.0,56.0,3.0,40.0,31.0,57.0,12.0,11.0,3.0,9.0,3.0,4.0,0.0,5.0,0.0,9.0,39.0,6.0,27.0,2.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,70.0,87.0,,81.0,58.0,0.0,11.0,14.0,14.0,6.0,1.0,0.0,0.0
81,710.0,8.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,16.0,9.0,126.0,43.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,30.0,6.0,0.0,0.0,87.0,13.0,14.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1239.0,0.0,127.0,785.0,42.0,329.0,289.0,692.0,73.0,70.0,24.0,79.0,25.0,22.0,5.0,28.0,10.0,30.0,446.0,90.0,340.0,49.0,0.0,367.0,0.0,0.0,1183.0,0.0,92.0,42.0,6.0,32.0,10.0,66.0,468.0,810.0,81.0,,572.0,0.0,139.0,134.0,305.0,45.0,10.0,72.0,305.0
82,623.0,12.0,26.0,4.0,1.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,8.0,66.0,43.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,65.0,12.0,11.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,710.0,0.0,95.0,435.0,34.0,199.0,180.0,514.0,81.0,79.0,20.0,83.0,15.0,15.0,9.0,39.0,17.0,46.0,495.0,130.0,203.0,29.0,0.0,409.0,0.0,0.0,4.0,0.0,97.0,56.0,18.0,41.0,19.0,49.0,501.0,728.0,58.0,572.0,,0.0,156.0,117.0,145.0,18.0,8.0,1.0,3.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1619.0,47.0,67.0,14.0,2.0,8.0,12.0,17.0,8.0,9.0,4.0,0.0,4.0,3.0,116.0,41.0,348.0,194.0,13.0,2.0,2.0,7.0,7.0,1.0,0.0,0.0,183.0,61.0,0.0,0.0,290.0,137.0,128.0,6.0,1.0,2.0,33.0,3.0,9.0,4.0,6.0,5.0,8.0,649.0,0.0,152.0,781.0,95.0,143.0,126.0,414.0,62.0,56.0,43.0,51.0,18.0,18.0,11.0,48.0,34.0,82.0,1491.0,972.0,537.0,520.0,0.0,745.0,0.0,0.0,56.0,0.0,1047.0,756.0,499.0,610.0,482.0,419.0,117.0,135.0,11.0,139.0,156.0,0.0,,336.0,468.0,96.0,199.0,7.0,35.0
85,1306.0,56.0,317.0,36.0,8.0,119.0,58.0,84.0,42.0,141.0,18.0,0.0,18.0,8.0,129.0,64.0,42.0,58.0,22.0,1.0,4.0,5.0,3.0,0.0,1.0,0.0,139.0,55.0,0.0,0.0,239.0,78.0,45.0,7.0,2.0,1.0,31.0,6.0,4.0,3.0,8.0,9.0,49.0,302.0,0.0,87.0,274.0,55.0,100.0,84.0,200.0,22.0,39.0,30.0,35.0,6.0,12.0,12.0,27.0,9.0,44.0,535.0,259.0,263.0,151.0,0.0,295.0,0.0,0.0,16.0,0.0,246.0,109.0,59.0,138.0,75.0,106.0,96.0,160.0,14.0,134.0,117.0,0.0,336.0,,199.0,19.0,32.0,7.0,15.0
86,598.0,11.0,25.0,2.0,0.0,1.0,2.0,7.0,10.0,3.0,3.0,0.0,1.0,2.0,34.0,20.0,62.0,55.0,9.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,42.0,24.0,0.0,0.0,87.0,55.0,19.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,471.0,0.0,197.0,542.0,104.0,144.0,136.0,454.0,38.0,49.0,28.0,55.0,11.0,16.0,4.0,23.0,16.0,77.0,912.0,567.0,938.0,102.0,0.0,792.0,0.0,0.0,85.0,0.0,316.0,116.0,35.0,160.0,45.0,70.0,107.0,177.0,14.0,305.0,145.0,0.0,468.0,199.0,,25.0,45.0,8.0,17.0
87,266.0,4.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,6.0,20.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,20.0,18.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,115.0,0.0,14.0,125.0,16.0,66.0,44.0,80.0,6.0,6.0,4.0,4.0,3.0,5.0,4.0,19.0,2.0,20.0,95.0,19.0,29.0,9.0,0.0,93.0,0.0,0.0,4.0,0.0,56.0,55.0,49.0,13.0,56.0,33.0,19.0,37.0,6.0,45.0,18.0,0.0,96.0,19.0,25.0,,8.0,2.0,11.0
88,609.0,17.0,58.0,11.0,2.0,6.0,5.0,11.0,9.0,4.0,5.0,0.0,2.0,0.0,30.0,9.0,62.0,76.0,6.0,7.0,4.0,2.0,10.0,0.0,2.0,0.0,32.0,21.0,0.0,0.0,73.0,61.0,21.0,0.0,2.0,1.0,13.0,7.0,1.0,0.0,3.0,1.0,2.0,92.0,0.0,12.0,95.0,8.0,8.0,6.0,46.0,8.0,8.0,7.0,6.0,1.0,2.0,1.0,4.0,9.0,25.0,222.0,153.0,63.0,241.0,0.0,87.0,0.0,0.0,6.0,0.0,93.0,41.0,31.0,47.0,38.0,38.0,7.0,3.0,1.0,10.0,8.0,0.0,199.0,32.0,45.0,8.0,,3.0,6.0
89,57.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,27.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,1.0,6.0,0.0,5.0,0.0,0.0,33.0,0.0,6.0,2.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,72.0,1.0,0.0,7.0,7.0,8.0,2.0,3.0,,18.0
90,378.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,22.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,196.0,0.0,3.0,142.0,2.0,6.0,7.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,16.0,29.0,28.0,0.0,15.0,0.0,0.0,138.0,0.0,12.0,6.0,2.0,4.0,3.0,20.0,4.0,1.0,0.0,305.0,3.0,0.0,35.0,15.0,17.0,11.0,6.0,18.0,
